model,pretty_name,SingleOp,SingleQ,MultiArith,SVAMP,GSM8K,MMLU-Math,BBHDeduction,BBHCounting,BBHNavigate,HotpotQA,SQuAD,DROP,Winograd-WSC
Qwen3-14B,MXFP4-RTN-WUSH,100.0,100.0,98.82352941176471,98.49056603773585,97.01492537313433,95.88014981273409,98.5,87.36842105263159,94.5,96.68508287292818,85.09316770186335,83.25358851674642,83.07692307692307
Qwen3-14B,MXFP4-RTN-WUSH,100.0,100.0,98.82352941176471,98.11320754716981,98.13432835820896,95.13108614232209,98.5,82.63157894736842,92.5,96.13259668508287,86.33540372670807,88.99521531100478,86.15384615384616
Qwen3-14B,MXFP4-RTN-WUSH,100.0,100.0,98.82352941176471,97.35849056603773,97.38805970149254,97.37827715355806,99.0,93.6842105263158,96.0,96.13259668508287,85.71428571428572,85.16746411483254,84.61538461538461
Qwen3-14B,MXFP4-RTN-WUSH,99.33333333333333,100.0,98.82352941176471,96.98113207547169,97.01492537313433,96.25468164794007,99.0,85.78947368421052,95.0,96.68508287292818,90.6832298136646,89.47368421052632,85.12820512820512
Qwen3-14B,NVFP4-RTN-WUSH,100.0,100.0,98.82352941176471,98.11320754716981,97.01492537313433,97.75280898876404,100.0,92.10526315789474,94.5,96.13259668508287,91.30434782608697,91.86602870813397,86.66666666666667
Qwen3-14B,NVFP4-RTN-WUSH,100.0,100.0,98.82352941176471,97.73584905660377,98.88059701492537,95.88014981273409,99.0,86.31578947368422,93.0,96.68508287292818,90.06211180124224,90.43062200956938,87.6923076923077
Qwen3-14B,NVFP4-RTN-WUSH,100.0,100.0,98.82352941176471,98.11320754716981,97.38805970149254,95.88014981273409,99.0,88.94736842105263,94.0,96.68508287292818,86.95652173913044,87.08133971291866,82.56410256410255
Qwen3-14B,NVFP4-RTN-WUSH,100.0,100.0,98.82352941176471,98.11320754716981,96.26865671641791,96.25468164794007,100.0,86.8421052631579,94.0,96.68508287292818,86.95652173913044,86.1244019138756,86.15384615384616
Qwen3-14B,NVFP4-RTN-WUSH,100.0,100.0,98.82352941176471,98.11320754716981,98.88059701492537,96.25468164794007,99.5,85.78947368421052,94.0,96.13259668508287,84.472049689441,86.1244019138756,83.07692307692307
Qwen3-14B,Qwen3-14B-BF16,100.0,100.0,98.82352941176471,97.73584905660377,98.13432835820896,97.37827715355806,99.5,89.47368421052632,98.0,97.23756906077348,91.30434782608697,91.86602870813397,86.66666666666667
Qwen3-14B,MXFP4-RTN-H,99.33333333333333,100.0,98.82352941176471,97.35849056603773,97.76119402985076,93.63295880149812,98.0,85.26315789473684,94.5,97.79005524861878,94.40993788819875,90.9090909090909,78.97435897435898
Qwen3-14B,MXFP4-RTN-H,100.0,100.0,98.82352941176471,98.11320754716981,96.64179104477611,92.50936329588015,99.0,82.63157894736842,95.0,97.23756906077348,95.03105590062113,89.95215311004785,82.05128205128204
Qwen3-14B,MXFP4-RTN-H,100.0,100.0,98.82352941176471,98.49056603773585,97.38805970149254,91.76029962546816,100.0,84.21052631578947,96.0,96.68508287292818,95.03105590062113,87.5598086124402,85.64102564102565
Qwen3-14B,NVFP4-RTN-I,100.0,100.0,99.41176470588235,97.35849056603773,98.50746268656717,95.13108614232209,99.0,85.26315789473684,95.0,95.02762430939227,86.33540372670807,85.16746411483254,82.05128205128204
Qwen3-14B,NVFP4-RTN-I,100.0,100.0,98.23529411764706,97.73584905660377,97.01492537313433,95.50561797752809,100.0,84.21052631578947,96.0,96.68508287292818,83.85093167701864,86.1244019138756,85.12820512820512
Qwen3-14B,NVFP4-RTN-I,100.0,100.0,99.41176470588235,97.35849056603773,98.13432835820896,95.13108614232209,99.5,85.78947368421052,94.0,95.58011049723757,85.09316770186335,86.60287081339713,82.56410256410255
Qwen3-14B,NVFP4-RTN-I,100.0,100.0,99.41176470588235,98.11320754716981,98.50746268656717,95.50561797752809,98.5,85.78947368421052,96.0,96.13259668508287,85.09316770186335,86.1244019138756,82.56410256410255
Qwen3-32B,MXFP4-RTN-WUSH,99.33333333333333,100.0,99.41176470588235,98.86792452830188,97.38805970149254,94.3820224719101,100.0,91.57894736842105,98.0,98.34254143646409,95.03105590062113,93.77990430622009,92.82051282051282
Qwen3-32B,MXFP4-RTN-WUSH,100.0,100.0,99.41176470588235,99.24528301886792,98.13432835820896,95.50561797752809,97.5,88.94736842105263,98.0,98.89502762430939,93.16770186335404,93.30143540669856,89.74358974358975
Qwen3-32B,MXFP4-RTN-WUSH,98.66666666666667,100.0,98.23529411764706,98.11320754716981,97.01492537313433,97.00374531835206,100.0,88.42105263157895,97.5,98.89502762430939,92.54658385093167,93.77990430622009,90.76923076923077
Qwen3-32B,MXFP4-RTN-WUSH,99.33333333333333,100.0,99.41176470588235,98.11320754716981,98.50746268656717,95.13108614232209,99.0,93.6842105263158,97.5,98.34254143646409,94.40993788819875,90.43062200956938,91.28205128205128
Qwen3-32B,NVFP4-RTN-WUSH,99.33333333333333,100.0,98.23529411764706,97.35849056603773,96.26865671641791,94.3820224719101,100.0,88.42105263157895,97.0,97.23756906077348,93.16770186335404,94.25837320574163,93.84615384615384
Qwen3-32B,NVFP4-RTN-WUSH,100.0,100.0,99.41176470588235,98.49056603773585,98.88059701492537,95.88014981273409,99.5,90.52631578947368,97.5,98.89502762430939,93.7888198757764,94.73684210526316,90.25641025641026
Qwen3-32B,NVFP4-RTN-WUSH,100.0,100.0,99.41176470588235,97.73584905660377,99.25373134328358,95.88014981273409,99.0,93.15789473684211,97.0,97.79005524861878,91.92546583850931,92.34449760765551,92.3076923076923
Qwen3-32B,NVFP4-RTN-WUSH,100.0,100.0,98.23529411764706,98.11320754716981,98.13432835820896,96.25468164794007,99.5,93.15789473684211,97.5,98.34254143646409,93.16770186335404,92.34449760765551,94.35897435897435
Qwen3-32B,MXFP4-RTN-H,99.33333333333333,100.0,98.82352941176471,97.35849056603773,97.76119402985076,94.00749063670412,99.5,79.47368421052632,97.0,97.79005524861878,91.30434782608697,93.30143540669856,91.28205128205128
Qwen3-32B,MXFP4-RTN-H,98.66666666666667,100.0,98.23529411764706,97.73584905660377,97.01492537313433,92.50936329588015,99.5,80.0,96.0,99.4475138121547,93.16770186335404,92.34449760765551,89.74358974358975
Qwen3-32B,NVFP4-RTN-I,100.0,100.0,99.41176470588235,98.86792452830188,98.13432835820896,95.50561797752809,100.0,87.89473684210526,97.5,98.34254143646409,92.54658385093167,94.73684210526316,92.3076923076923
Qwen3-32B,Qwen3-32B-BF16,100.0,100.0,99.41176470588235,97.35849056603773,98.88059701492537,94.00749063670412,100.0,95.26315789473684,98.0,99.4475138121547,95.03105590062113,94.73684210526316,93.84615384615384
Qwen3-32B,NVFP4-RTN-H,99.33333333333333,100.0,98.82352941176471,98.86792452830188,98.50746268656717,95.13108614232209,100.0,91.05263157894737,98.0,98.34254143646409,92.54658385093167,93.77990430622009,92.82051282051282
Qwen3-32B,NVFP4-RTN-H,99.33333333333333,100.0,98.82352941176471,98.86792452830188,98.13432835820896,94.7565543071161,100.0,92.63157894736842,97.0,97.23756906077348,90.6832298136646,92.34449760765551,91.7948717948718
Qwen3-32B,MXFP4-RTN-I,100.0,100.0,98.82352941176471,99.24528301886792,97.01492537313433,92.13483146067416,99.5,85.26315789473684,96.0,98.34254143646409,92.54658385093167,90.43062200956938,91.28205128205128
